OBJECTID,fid_blockg,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,shape_leng,fid_neighb,perimeter,neighbor_,neighbor_i,hood,hood_no,acres,sqmiles,dpwdiv,unique_id,sectors,shape_le_1,shape_ar_1,page_number,plannerassign,created_user,created_date,last_edited_user,last_edited_date,temp,pghdb_sde_Neighborhood_2010_are,GlobalID,Shape__Area,Shape__Length
1,233,42,003,140500,3,420031405003,Block Group 3,G5030,S,172851,0,+40.4523867,-079.9073195,6787.52765016,71,136797.97928478,48,2130,Point Breeze North,64,193.22923916,0.30192069,2,113,11,13891.8733483,7968760.14936,15,Adriana Bowman,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:02:13+00,,7968760,a642a6b6-a2a9-48d5-acf2-3e2ce87d4bc0,8417066.64471436,14181.7285840938
2,203,42,003,140100,3,420031401003,Block Group 3,G5030,S,291302,0,+40.4427301,-079.9435821,8071.73494198,66,136797.97928478,55,2137,Squirrel Hill North,76,782.98154712,1.22340867,3,57,10,30343.6510759,34078713.1892,15,Christian Umbach,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:02:41+00,,34078712,20d4605b-258e-441a-a57e-a28fdabb6d30,34108372.9526978,30326.8194184364
3,86,42,003,101700,2,420031017002,Block Group 2,G5030,S,217979,0,+40.4672423,-079.9433700,6586.68365832,39,136797.97928478,18,2100,Garfield,35,292.72612537,0.45738457,2,113,12,14574.3266866,12751163.3098,15,Keith Portugal,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 12:59:55+00,,12751163,bf4065e7-c29c-48bd-b529-e7fd99077238,12751150.0316772,14577.4263281874
4,214,42,003,050900,1,420030509001,Block Group 1,G5030,S,462660,4114,+40.4512373,-079.9745804,14216.9644036,68,136797.97928478,47,2129,Bedford Dwellings,7,112.43155145,0.1756743,3,81,15,14192.7382254,4997335.34975,15,Ose Akinlotan,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 12:58:41+00,,4997335.5,fed3fb32-0cd3-4556-aa41-17ee03b4fe41,4897518.68066406,13941.5143563331
5,173,42,003,300100,5,420033001005,Block Group 5,G5030,S,121963,0,+40.4109357,-079.9931744,5583.46861301,59,198927.41614216,85,2167,Knoxville,44,191.75977734,0.29962465,4,81,6,12000.7618324,8411048.34192,15,Thomas Scharff,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:00:19+00,,8411048,8669d2f0-b886-4519-99d0-bb1015b592b0,8353056.37432861,12021.8646902765
6,286,42,003,130400,3,420031304003,Block Group 3,G5030,S,115917,0,+40.4496890,-079.8859784,6090.01400698,75,136797.97928478,45,2127,Homewood South,42,247.77481235,0.38714814,2,24,11,16565.7535005,11104193.7803,15,Adriana Bowman,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:00:15+00,,11104194,fa665cfe-97d0-4827-a202-3bca7d917a22,10793073.4921875,16346.1189970677
7,348,42,003,050100,3,420030501003,Block Group 3,G5030,S,308316,0,+40.4459724,-079.9776953,7994.23136392,84,136797.97928478,53,2135,Middle Hill,51,195.28998606,0.3051406,3,25,15,14505.0915831,8503222.96244,15,Ose Akinlotan,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:00:38+00,,8503223,ab7c6002-5eb8-40fb-871f-51c8acf71402,8506822.42675781,14507.7642731905
8,313,42,003,562800,2,420035628002,Block Group 2,G5030,S,653726,0,+40.4269246,-080.0658036,15834.2769921,79,198927.41614216,71,2153,Oakwood,59,161.52497734,0.25238278,5,113,4,15925.7361124,7024961.87774,15,Nancy Hirsch,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:00:57+00,,7024962,253b724f-3c9d-4439-bf93-d912897f468c,7036027.74893188,15843.1027190046
9,1,42,003,040400,1,420030404001,Block Group 1,G5030,S,75472,0,+40.4458408,-079.9483932,3813.62098852,2,136797.97928478,41,2123,North Oakland,56,318.08128336,0.49700201,3,25,14,20941.386025,13904629.0582,15,Christian Umbach,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:00:50+00,,13904629,773a7ef1-47aa-4f7d-9947-486b11bf5c0c,13855524.5834351,20908.5638871554
10,77,42,003,191100,2,420031911002,Block Group 2,G5030,S,884630,0,+40.4386014,-080.0260996,13787.4250385,36,198927.41614216,61,2143,Duquesne Heights,25,396.51557922,0.61955559,5,57,6,19320.4070461,17364275.0587,15,Nancy Hirsch,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 12:59:27+00,,17364276,0edad5c4-6965-4f7d-9055-a976593c7c25,17272218.1680603,18827.6321172228
11,96,42,003,562300,2,420035623002,Block Group 2,G5030,S,1197940,275741,+40.4050484,-079.9308344,18931.4939549,91,136797.97928478,90,2172,Glen Hazel,36,292.77636784,0.45746307,3,6,9,18931.702384,12713035.8578,15,Austin Herzog,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 12:59:58+00,,12713036,ed73b2d5-7175-417f-9750-1dccb6473843,12753337.7091064,18602.7183216145
12,321,42,003,111500,4,420031115004,Block Group 4,G5030,S,273819,0,+40.4612717,-079.9187769,7027.65869296,80,136797.97928478,17,2099,East Liberty,29,372.08254294,0.58137897,2,25,12,22746.8768396,16201453.7079,15,Keith Portugal,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 12:59:38+00,,16201454,9ccdd4df-8786-48a4-8af3-8f62413abdf9,16207926.3116455,22622.1950918987
13,13,42,003,563100,2,420035631002,Block Group 2,G5030,S,880129,0,+40.4320100,-080.0530374,14820.1491893,12,198927.41614216,66,2148,Westwood,89,441.88379972,0.69044344,5,6,4,20939.3851045,19295586.8644,15,Nancy Hirsch,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:03:12+00,,19295586,fe33ba7b-19fb-4d21-8600-5b4c71dbe539,19248456.6426086,20974.2626177872
14,104,42,003,101400,4,420031014004,Block Group 4,G5030,S,149377,0,+40.4799173,-079.9300799,6038.17837146,44,136797.97928478,6,2088,Morningside,52,239.74901281,0.37460783,2,6,12,27033.4541634,10650824.4307,15,Keith Portugal,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:00:40+00,,10650824,a9ac885b-095f-4467-a3e3-0938fc05904b,10443469.3857422,27084.7928790468
15,246,42,003,310200,4,420033102004,Block Group 4,G5030,S,1047140,0,+40.3745282,-079.9191876,15834.1152842,73,87456.39013128,95,2177,Lincoln Place,46,628.18080526,0.98153251,4,113,8,27507.9002534,27425088.795,15,Austin Herzog,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:00:28+00,,27425090,8edc0195-2966-4556-a5fd-706c320c0280,27363669.5533752,27517.0865808796
16,0, , , , , , , , ,0,0, , ,0,1292,80995.80627227,0,0,Perry North,61,774.34430822,1.20991298,0,0,2,0,0,15,Nazia Tarannum,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 12:57:28+00,,,529dca14-f7c2-4e38-8e1e-dee1b31426c2,33730438.7110596,30985.3874386182
17,11,42,003,260900,1,420032609001,Block Group 1,G5030,S,812036,0,+40.4776383,-080.0025945,13757.3320259,10,80995.80627227,10,2092,Northview Heights,58,200.83016634,0.31379713,1,113,1,13813.6375352,8739570.2277,15,Nazia Tarannum,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:00:53+00,,8739570,afe5a435-c059-49b4-9736-5a284501ab5d,8748159.83361816,13861.1422339198
18,292,42,003,130200,2,420031302002,Block Group 2,G5030,S,186305,0,+40.4594767,-079.8955903,5810.23622423,76,136797.97928478,33,2115,Homewood North,41,276.8346875,0.4325542,2,57,11,16962.0116448,12103511.7943,15,Adriana Bowman,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:00:13+00,,12103512,ae461c62-e950-43e0-b2a1-7cef98be5aee,12058814.6192627,16959.3055741854
19,202,42,003,561600,1,420035616001,Block Group 1,G5030,S,294192,0,+40.4168800,-079.9615214,10586.5307517,65,198927.41614216,83,2165,Arlington Heights,5,81.42957212,0.12723371,4,113,7,10585.5381722,3667921.40983,15,Thomas Scharff,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 12:58:35+00,,3667921.5,12942113-8e97-4056-a9aa-2153476c947d,3547057.20968628,10500.1483204301
20,72,42,003,060300,1,420030603001,Block Group 1,G5030,S,391220,0,+40.4621267,-079.9609234,10355.0742837,32,136797.97928478,20,2102,Lower Lawrenceville,48,275.16424871,0.42994414,2,19,13,15396.9649665,11984374.8838,15,Alex Peppers,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:00:30+00,,11984375,767995c6-6930-40f5-9013-709a90b5238d,11986162.1508179,15430.9064896735
21,114,42,003,120400,1,420031204001,Block Group 1,G5030,S,176103,0,+40.4633748,-079.9087841,5462.85309992,45,136797.97928478,23,2105,Larimer,45,284.9177058,0.44518392,2,21,12,15726.185821,12407881.2955,15,Keith Portugal,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:00:23+00,,12407882,6d679b4d-248d-4c31-b0db-7bc6178a2902,12411015.3078003,15722.2915209482
22,35,42,003,980000,1,420039800001,Block Group 1,G5030,S,637235,237268,+40.4875790,-079.8907469,13581.8750903,21,136797.97928478,5,2087,Lincoln-Lemington-Belmar,47,1163.58474507,1.81810116,2,24,11,13582.9721502,7809355.83398,15,Adriana Bowman,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 13:00:25+00,,7809355.5,c63ba635-c98b-4972-b27a-7202f727a438,50685687.3291016,41773.2037911418
23,25,42,003,010300,2,420030103002,Block Group 2,G5030,S,267511,0,+40.4369004,-079.9903987,6834.80662477,18,136797.97928478,67,2149,Bluff,11,208.16719001,0.32526123,3,57,15,15723.1745834,9127699.90244,15,Ose Akinlotan,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 12:58:51+00,,9127700,4be74de1-0d1d-4eb4-bd28-1a3ed6082592,9067760.65063477,15575.4843777297
24,340,42,003,563000,1,420035630001,Block Group 1,G5030,S,2520263,0,+40.4507815,-080.0847808,26392.7256493,86,198927.41614216,37,2119,Fairywood,32,620.53813973,0.96959084,5,21,4,26410.7383239,27002274.2666,15,Nancy Hirsch,SDE,2020/08/14 12:57:28+00,SDE,2020/08/14 12:59:48+00,,27002274,8ea999f0-868e-44ff-bd8f-1ccc3ee8b099,27030641.0297241,26643.5340477591
