Neighborhood,Population (2010),Miles of Major Roads,Total Street Miles,Street Density (st. mi/area sq. mi),Total Working Pop. (Age 16+) (2010),Commute to Work: Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Taxi (2010),Commute to Work: Motorcycle (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Work at Home (2010)
Allegheny Center,933,2.2324254004743000000000000000000000000000000000000,4.14146731306500000000000000000000000000000000000,19.721272919357100000000000000000000000000000000000,386,0.277202072539,0.0984455958549,0.168393782383,0.0,0.0,0.0,0.437823834197,0.0,0.0181347150259
Allegheny West,462,1.4716270665893900000000000000000000000000000000000000,4.87084265369618000000000000000000000000000000000000,34.5449833595474000000000000000000000000000000000,151,0.23178807947,0.205298013245,0.158940397351,0.145695364238,0.0,0.0,0.258278145695,0.0,0.0
Allentown,2500,1.6484513395352100000000000000000000000000000000000000,12.3256888865864000000000000000000000000000000000000,41.78199622571680000000000000000000000000000000000,824,0.469660194175,0.109223300971,0.379854368932,0.0,0.00849514563107,0.0,0.0,0.0145631067961,0.0182038834951
Arlington,1869,0.86157142215909100000000000000000000000000000000000000,10.734269164466600000000000000000000000000000000000,22.83887056269490000000000000000000000000000000000,673,0.739970282318,0.072808320951,0.135215453195,0.0,0.0,0.0,0.0193164933135,0.00891530460624,0.0237741456166
Arlington Heights,244,0,1.08646027946903000000000000000000000000000000000,8.2307596929472300000000000000000000000000000000000,72,0.111111111111,0.0,0.888888888889,0.0,0.0,0.0,0.0,0.0,0.0
Banksville,4144,5.98560452734958000000000000000000000000000000000000,18.32688500355220000000000000000000000000000000000,18.91319401811370000000000000000000000000000,2506,0.815243415802,0.0586592178771,0.116919393456,0.0,0.0,0.0,0.00678371907422,0.0023942537909,0.0
Bedford Dwellings,1202,0.973902586208466000000000000000000000000000000000000,4.48425302416710000000000000000000000000000000000000,25.051692872441900000000000000000000000000000000000,305,0.367213114754,0.167213114754,0.337704918033,0.0,0.0,0.0,0.127868852459,0.0,0.0
Beechview,7974,6.41974258374064000000000000000000000000000000000000,30.747549140589900000000000000000000000000000000000,21.059965164787600000000000000000000000000000000,3909,0.550780250704,0.153491941673,0.211563059606,0.0,0.0,0.00562803786135,0.0526988999744,0.0,0.0258378101816
Beltzhoover,1925,3.32228860269369000000000000000000000000000000000000,17.258168688129200000000000000000000000000000000000,40.9932747936560000000000000000000000000000000000,706,0.457507082153,0.0807365439093,0.43059490085,0.0,0.0,0.0,0.0,0.0,0.0311614730878
Bloomfield,8442,3.795094269613770000000000000000000000000000000,31.744561348497400000000000000000000000000000000,45.2201728611074000000000000000000000000000000000,5117,0.420363494235,0.0926324017979,0.200312683213,0.0,0.00840336134454,0.0642954856361,0.188196208716,0.0,0.0257963650577
Bluff,6600,9.079286723398770000000000000000000000000000000000,16.476396154734100000000000000000000000000000000000,50.38653258328480000000000000000000000000000000000,1379,0.255257432922,0.0398839738941,0.230601885424,0.0,0.0,0.0,0.430746918057,0.0,0.0435097897027
Bon Air,808,1.66638976466250000000000000000000000000000000000000,9.16807268005396000000000000000000000000000000000,29.290967028926400000000000000000000000000000000000,438,0.602739726027,0.207762557078,0.134703196347,0.0,0.0,0.0,0.0365296803653,0.0,0.0182648401826
Brighton Heights,7247,4.1890844672371800000000000000000000000000000000,29.518323676441900000000000000000000000000000000000,26.426431223314200000000000000000000000000000000000,3968,0.630544354839,0.114919354839,0.179435483871,0.0,0.00504032258064,0.0,0.0320060483871,0.0110887096774,0.0269657258065
Brookline,13214,9.1459710492643600000000000000000000000000000000,56.87743220915920000000000000000000000000000000000,27.31865139729070000000000000000000000000000000000,7067,0.731144757323,0.0969293901231,0.120277345408,0.0036790717419,0.00806565728032,0.00155653035234,0.0275930380642,0.00594311589076,0.00481109381633
California-Kirkbride,761,1.5828575703240200000000000000000000000000000000000000,6.37890365923053000000000000000000000000000000000000,29.395869397375700000000000000000000000000000000000,227,0.453744493392,0.0,0.409691629956,0.0,0.0,0.0,0.136563876652,0.0,0.0
Carrick,10113,6.56325741864801000000000000000000000000000000000000,45.98208593658840000000000000000000000000000000000,27.484809286663700000000000000000000000000000000000,4783,0.620949195066,0.103282458708,0.195693079657,0.0,0.00271795943968,0.0,0.0466234580807,0.0,0.0307338490487
Central Business District,3629,13.5511004158647000000000000000000000000000000000000,30.8431174187818000000000000000000000000000000000,48.19237096684660000000000000000000000000000000000,1566,0.247765006386,0.0536398467433,0.211366538953,0.0,0.0,0.0,0.419540229885,0.0,0.0676883780332
Central Lawrenceville,4482,2.52979354871312000000000000000000000000000000000000,18.2595993869120000000000000000000000000000000000,18.96116239554720000000000000000000000000000000000,2111,0.51823780199,0.201800094742,0.174324964472,0.0,0.0,0.0146849834202,0.076740881099,0.0,0.0142112742776
Central Northside,2923,1.810786932107780000000000000000000000000000000000000,12.17820170232320000000000000000000000000000000000,47.02008379275350000000000000000000000000000000000,1514,0.478863936592,0.0812417437252,0.196829590489,0.0,0.0,0.0204755614267,0.180977542933,0.0,0.0416116248349
Central Oakland,6086,1.1189943834823100000000000000000000000000000000000000,9.500026404186230000000000000000000000000000000,33.80792314657020000000000000000000000000000000000,2509,0.162614587485,0.068951773615,0.13272220008,0.0,0.0,0.0,0.623754483858,0.0,0.0119569549621
Chartiers City,477,0.349860720619034000000000000000000000000000000000000000,4.3236442043378800000000000000000000000000000000000,32.75488033589300000000000000000000000000000000000,178,0.775280898876,0.0786516853933,0.14606741573,0.0,0.0,0.0,0.0,0.0,0.0
Chateau,11,5.72204183466324000000000000000000000000000000000000,13.4386955384076000000000000000000000000000000000,35.0879779070694000000000000000000000000000000000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crafton Heights,3814,3.042240586525590000000000000000000000000000000000000,19.3285244674759000000000000000000000000000000000,25.63464783484870000000000000000000000000000000000,1757,0.677290836653,0.122936824132,0.168468981218,0.0,0.00739897552647,0.0,0.00796812749004,0.00739897552647,0.00853727945361
