_id,Closed Status,Duration,Start Station Id,Start Date,Start Station Name,End Date,End Station Id,End Station Name,Rider Type
1,NORMAL,562,40,2023-12-31T23:24:35,7th St & Penn Ave,2023-12-31T23:33:57,58,W North Ave & Federal St,MEMBER
2,NORMAL,154,51,2023-12-31T23:11:48,Coltart Ave & Forbes Ave,2023-12-31T23:14:22,10,Zulema St & Coltart Ave,MEMBER
3,NORMAL,934,27,2023-12-31T22:46:55,W Station Square Dr & Bessemer Court,2023-12-31T23:02:29,27,W Station Square Dr & Bessemer Court,MEMBER
4,NORMAL,2198,21,2023-12-31T22:45:11,Liberty Ave & Stanwix St,2023-12-31T23:21:49,21,Liberty Ave & Stanwix St,CASUAL
5,GRACE_PERIOD,23,21,2023-12-31T22:44:32,Liberty Ave & Stanwix St,2023-12-31T22:44:55,21,Liberty Ave & Stanwix St,CASUAL
6,NORMAL,2272,21,2023-12-31T22:43:39,Liberty Ave & Stanwix St,2023-12-31T23:21:31,21,Liberty Ave & Stanwix St,CASUAL
7,GRACE_PERIOD,23,21,2023-12-31T22:43:08,Liberty Ave & Stanwix St,2023-12-31T22:43:31,21,Liberty Ave & Stanwix St,CASUAL
8,NORMAL,767,20,2023-12-31T22:21:23,Boulevard of the Allies & Parkview Ave,2023-12-31T22:34:10,34,N Dithridge St & Centre Ave,MEMBER
9,NORMAL,397,25,2023-12-31T22:14:38,Penn Ave & S Whitfield St,2023-12-31T22:21:15,17,Taylor St & Liberty Ave,MEMBER
10,NORMAL,480,29,2023-12-31T21:47:45,Forbes Ave & Schenley Dr,2023-12-31T21:55:45,15,Ivy St & Walnut St,MEMBER
11,NORMAL,270,28,2023-12-31T21:42:47,Fifth Ave & S Bouquet St,2023-12-31T21:47:17,29,Forbes Ave & Schenley Dr,MEMBER
12,NORMAL,594,31,2023-12-31T21:22:39,First Ave & B St,2023-12-31T21:32:33,49,Technology Dr & Bates St,MEMBER
13,NORMAL,632,47,2023-12-31T21:06:00,17th St & Penn Ave,2023-12-31T21:16:32,19,42nd St & Butler St,CASUAL
14,NORMAL,655,47,2023-12-31T21:05:43,17th St & Penn Ave,2023-12-31T21:16:38,19,42nd St & Butler St,CASUAL
15,NORMAL,669,47,2023-12-31T21:05:32,17th St & Penn Ave,2023-12-31T21:16:41,19,42nd St & Butler St,CASUAL
16,NORMAL,397,11,2023-12-31T20:55:09,Ellsworth Ave & N Neville St,2023-12-31T21:01:46,51,Coltart Ave & Forbes Ave,MEMBER
17,NORMAL,471,34,2023-12-31T20:53:11,N Dithridge St & Centre Ave,2023-12-31T21:01:02,20,Boulevard of the Allies & Parkview Ave,MEMBER
18,NORMAL,493,34,2023-12-31T20:52:57,N Dithridge St & Centre Ave,2023-12-31T21:01:10,20,Boulevard of the Allies & Parkview Ave,MEMBER
19,NORMAL,285,23,2023-12-31T20:52:55,North Shore Trail & Fort Duquesne Bridge,2023-12-31T20:57:40,5,Allegheny Station,MEMBER
20,NORMAL,374,34,2023-12-31T20:48:46,N Dithridge St & Centre Ave,2023-12-31T20:55:00,50,Atwood St & Bates St,MEMBER
21,NORMAL,522,34,2023-12-31T20:38:34,N Dithridge St & Centre Ave,2023-12-31T20:47:16,37,S Negley Ave & Centre Ave,MEMBER
22,NORMAL,1056,28,2023-12-31T20:37:30,Fifth Ave & S Bouquet St,2023-12-31T20:55:06,48,S Millvale Ave & Centre Ave,MEMBER
23,NORMAL,734,50,2023-12-31T20:33:25,Atwood St & Bates St,2023-12-31T20:45:39,15,Ivy St & Walnut St,MEMBER
24,NORMAL,1454,13,2023-12-31T20:28:14,S Bouquet Ave & Sennott St,2023-12-31T20:52:28,23,North Shore Trail & Fort Duquesne Bridge,MEMBER
25,NORMAL,2744,22,2023-12-31T20:23:25,Forbes Ave & Market Square,2023-12-31T21:09:09,31,First Ave & B St,CASUAL
