_id,Closed Status,Duration,Start Station Id,Start Date,Start Station Name,End Date,End Station Id,End Station Name,Rider Type
1,NORMAL,288,29,2023-01-31T23:49:31,Forbes Ave & Schenley Dr,2023-01-31T23:54:19,20,Boulevard of the Allies & Parkview Ave,MEMBER
2,NORMAL,322,29,2023-01-31T23:43:11,Forbes Ave & Schenley Dr,2023-01-31T23:48:33,10,Zulema St & Coltart Ave,MEMBER
3,NORMAL,483,7,2023-01-31T22:43:12,Liberty Ave & Gross St,2023-01-31T22:51:15,12,O'Hara St and University Place,MEMBER
4,NORMAL,236,29,2023-01-31T22:14:57,Forbes Ave & Schenley Dr,2023-01-31T22:18:53,10,Zulema St & Coltart Ave,MEMBER
5,NORMAL,550,12,2023-01-31T22:10:09,O'Hara St and University Place,2023-01-31T22:19:19,15,Ivy St & Walnut St,MEMBER
6,NORMAL,229,13,2023-01-31T22:04:02,S Bouquet Ave & Sennott St,2023-01-31T22:07:51,20,Boulevard of the Allies & Parkview Ave,MEMBER
7,NORMAL,366,12,2023-01-31T21:42:42,O'Hara St and University Place,2023-01-31T21:48:48,11,Ellsworth Ave & N Neville St,MEMBER
8,NORMAL,239,13,2023-01-31T21:30:55,S Bouquet Ave & Sennott St,2023-01-31T21:34:54,10,Zulema St & Coltart Ave,MEMBER
9,NORMAL,286,38,2023-01-31T21:09:47,Allequippa St & Darragh St,2023-01-31T21:14:33,10,Zulema St & Coltart Ave,MEMBER
10,NORMAL,402,11,2023-01-31T21:03:06,Ellsworth Ave & N Neville St,2023-01-31T21:09:48,12,O'Hara St and University Place,MEMBER
11,NORMAL,83,11,2023-01-31T21:00:37,Ellsworth Ave & N Neville St,2023-01-31T21:02:00,11,Ellsworth Ave & N Neville St,MEMBER
12,NORMAL,820,20,2023-01-31T20:57:56,Boulevard of the Allies & Parkview Ave,2023-01-31T21:11:36,20,Boulevard of the Allies & Parkview Ave,MEMBER
13,NORMAL,410,33,2023-01-31T20:55:06,Schenley Dr & Schenley Dr Ext,2023-01-31T21:01:56,20,Boulevard of the Allies & Parkview Ave,MEMBER
14,NORMAL,802,28,2023-01-31T20:28:20,Fifth Ave & S Bouquet St,2023-01-31T20:41:42,15,Ivy St & Walnut St,MEMBER
15,NORMAL,219,12,2023-01-31T20:24:33,O'Hara St and University Place,2023-01-31T20:28:12,34,N Dithridge St & Centre Ave,MEMBER
16,NORMAL,363,13,2023-01-31T20:11:02,S Bouquet Ave & Sennott St,2023-01-31T20:17:05,20,Boulevard of the Allies & Parkview Ave,MEMBER
17,NORMAL,417,13,2023-01-31T20:10:07,S Bouquet Ave & Sennott St,2023-01-31T20:17:04,20,Boulevard of the Allies & Parkview Ave,MEMBER
18,NORMAL,199,20,2023-01-31T20:00:06,Boulevard of the Allies & Parkview Ave,2023-01-31T20:03:25,13,S Bouquet Ave & Sennott St,MEMBER
19,NORMAL,1481,29,2023-01-31T19:51:06,Forbes Ave & Schenley Dr,2023-01-31T20:15:47,10,Zulema St & Coltart Ave,MEMBER
20,NORMAL,148,12,2023-01-31T19:44:06,O'Hara St and University Place,2023-01-31T19:46:34,28,Fifth Ave & S Bouquet St,MEMBER
21,NORMAL,385,38,2023-01-31T19:40:17,Allequippa St & Darragh St,2023-01-31T19:46:42,10,Zulema St & Coltart Ave,MEMBER
22,NORMAL,783,29,2023-01-31T19:14:33,Forbes Ave & Schenley Dr,2023-01-31T19:27:36,36,Penn Ave & S Pacific Ave,MEMBER
23,NORMAL,371,33,2023-01-31T19:09:07,Schenley Dr & Schenley Dr Ext,2023-01-31T19:15:18,20,Boulevard of the Allies & Parkview Ave,MEMBER
24,GRACE_PERIOD,23,33,2023-01-31T19:08:26,Schenley Dr & Schenley Dr Ext,2023-01-31T19:08:49,33,Schenley Dr & Schenley Dr Ext,MEMBER
25,NORMAL,275,12,2023-01-31T19:06:48,O'Hara St and University Place,2023-01-31T19:11:23,34,N Dithridge St & Centre Ave,MEMBER
26,NORMAL,373,28,2023-01-31T19:03:23,Fifth Ave & S Bouquet St,2023-01-31T19:09:36,20,Boulevard of the Allies & Parkview Ave,MEMBER
27,NORMAL,357,20,2023-01-31T18:54:28,Boulevard of the Allies & Parkview Ave,2023-01-31T19:00:25,28,Fifth Ave & S Bouquet St,MEMBER
28,NORMAL,288,28,2023-01-31T18:46:26,Fifth Ave & S Bouquet St,2023-01-31T18:51:14,20,Boulevard of the Allies & Parkview Ave,MEMBER
29,NORMAL,1768,13,2023-01-31T18:46:23,S Bouquet Ave & Sennott St,2023-01-31T19:15:51,7,Liberty Ave & Gross St,MEMBER
30,NORMAL,774,12,2023-01-31T18:33:02,O'Hara St and University Place,2023-01-31T18:45:56,15,Ivy St & Walnut St,MEMBER
31,NORMAL,274,34,2023-01-31T18:26:56,N Dithridge St & Centre Ave,2023-01-31T18:31:30,28,Fifth Ave & S Bouquet St,MEMBER
32,NORMAL,582,26,2023-01-31T18:19:00,S 27th St & Sidney St. (Southside Works),2023-01-31T18:28:42,10,Zulema St & Coltart Ave,MEMBER
33,NORMAL,356,34,2023-01-31T18:17:23,N Dithridge St & Centre Ave,2023-01-31T18:23:19,29,Forbes Ave & Schenley Dr,MEMBER
34,NORMAL,330,34,2023-01-31T18:08:03,N Dithridge St & Centre Ave,2023-01-31T18:13:33,33,Schenley Dr & Schenley Dr Ext,MEMBER
35,NORMAL,227,13,2023-01-31T18:03:06,S Bouquet Ave & Sennott St,2023-01-31T18:06:53,10,Zulema St & Coltart Ave,MEMBER
36,NORMAL,255,37,2023-01-31T18:02:35,S Negley Ave & Centre Ave,2023-01-31T18:06:50,30,Shady Ave & Ellsworth Ave,MEMBER
37,NORMAL,220,15,2023-01-31T17:56:22,Ivy St & Walnut St,2023-01-31T18:00:02,37,S Negley Ave & Centre Ave,MEMBER
