_id,Code,Municipality
1,64305,New Kensington City
2,64306,Lower Burrell City
3,64401,Adamsburg Borough
4,64402,Arona Borough
5,64403,Avonmore Borough
6,64404,Bolivar Borough
7,64405,Derry Borough
8,64406,Donegal Borough
9,64407,East Vandergrift Borough
10,64408,Export Borough
11,64409,Hunker Borough
12,64410,Hyde Park Borough
13,64411,Irwin Borough
14,64412,Latrobe City
15,64413,Ligonier Borough
16,64414,Madison Borough
17,64415,Manor Borough
18,64416,Mount Pleasant Borough
19,64417,New Alexandria Borough
20,64418,New Florence Borough
21,64419,Delmont Borough
22,64420,North Belle Vernon Borough
23,64421,North Irwin Borough
24,64422,Oklahoma Borough
25,64423,Penn Borough
26,64424,Scottdale Borough
27,64425,Seward Borough
28,64426,Smithton Borough
29,64427,South Greensburg Borough
30,64428,Southwest Greensburg Borough
31,64429,Sutersville Borough
32,64430,Trafford Borough
33,64431,Vandergrift Borough
34,64432,West Leechburg Borough
35,64433,West Newton Borough
36,64434,Youngstown Borough
37,64435,Youngwood Borough
38,64436,New Stanton Borough
39,64437,Murraysville Borough
40,64438,Laurel Mountain Borough
41,64101,North Huntingdon Township
42,64102,Penn Township
43,64103,Rostraver Township
44,64201,Allegheny Township
45,64202,Bell Township
46,64203,Cook Township
47,64204,Derry Township
48,64205,Donegal Township
49,64206,East Huntingdon Township
50,64207,Fairfield Township
51,64209,Hempfield Township
52,64210,Ligonier Township
53,64211,Loyalhanna Township
54,64212,Mount Pleasant Township
55,64213,Saint Clair Township
56,64214,Salem Township
57,64215,Sewickley Township
58,64216,South Huntingdon Township
59,64217,Unity Township
60,64218,Upper Burrell Township
61,64219,Washington Township
62,64301,Arnold City
63,64302,Greensburg City
64,64303,Jeannette City
65,64304,Monessen City
