DEC_LAT,DEC_LONG
40.6088,-79.7041
40.2347,-79.2282
40.3216,-79.3905
40.3013,-79.5414
40.3071,-79.5429
40.2903,-79.5399
,
40.5728,-79.5927
40.4461,-79.5838
40.6201,-79.6353
40.3263,-79.7276
40.3012,-79.5506
40.301,-79.5541
40.3638,-79.6898
40.5964,-79.6933
40.3257,-79.7114
40.3304,-79.7049
40.5869,-79.7494
40.3378,-79.6755
40.5943,-79.6141
40.3372,-79.6206
40.5981,-79.5716
40.2109,-79.7362
40.2776,-79.3756
40.3037,-79.5781
40.4409,-79.5688
40.1547,-79.777
40.5872,-79.7615
40.3362,-79.7693
40.3465,-79.5492
40.6026,-79.5656
40.577,-79.7375
40.3034,-79.5533
40.4876,-79.6213
40.4633,-79.6558
40.282,-79.7039
40.2866,-79.4424
40.4972,-79.6601
40.5005,-79.6742
40.3444,-79.7225
40.3412,-79.7423
40.3814,-79.7038
40.2966,-79.3619
40.3585,-79.523
40.3236,-79.6826
40.4049,-79.7132
40.2867,-79.5324
40.3551,-79.6511
40.6153,-79.66
40.3274,-79.7195
40.138,-79.5476
40.2569,-79.6249
40.3233,-79.6994
40.5865,-79.751
40.5999,-79.6088
40.3455,-79.6947
40.3285,-79.7162
40.342,-79.7593
40.1599,-79.8589
40.4144,-79.6242
40.5313,-79.5174
40.1981,-79.8295
40.3001,-79.5446
40.2956,-79.6496
40.5467,-79.7319
40.3623,-79.7717
40.3403,-79.7548
40.3364,-79.5914
,
40.4432,-79.5858
40.5619,-79.699
40.1869,-79.818
40.158,-79.7343
40.1661,-79.7428
40.3703,-79.6933
40.3316,-79.7406
40.5961,-79.5696
40.14,-79.8281
40.143,-79.8414
40.2599,-79.1464
40.2115,-79.6044
40.2348,-79.5815
40.3186,-79.6202
40.1493,-79.7745
40.4925,-79.6484
40.6099,-79.7051
40.5856,-79.7104
40.218,-79.251
40.3082,-79.7097
40.4195,-79.6537
40.2745,-79.5681
40.1647,-79.4335
40.3786,-79.4982
40.3955,-79.442
40.4395,-79.4112
40.318,-79.6945
40.571,-79.7495
40.5852,-79.7567
40.4375,-79.653
40.2838,-79.5413
40.2851,-79.5898
40.5634,-79.7555
40.5572,-79.7598
40.4278,-79.6812
40.1608,-79.4252
40.3275,-79.3757
40.2716,-79.5221
40.3295,-79.6045
40.5453,-79.7005
40.5809,-79.6423
40.592,-79.5893
40.3899,-79.7438
40.4142,-79.5899
40.1667,-79.5435
40.219,-79.5558
,
40.2953,-79.6098
40.185,-79.5313
40.5099,-79.6617
40.1794,-79.8042
40.0999,-79.3626
40.1005,-79.3638
40.2036,-79.6154
40.2613,-79.6441
40.355,-79.3385
40.2887,-79.5287
40.3137,-79.4006
40.1125,-79.3829
40.3281,-79.7251
40.1325,-79.8612
40.4169,-79.0247
40.3065,-79.3936
40.3348,-79.7097
40.1551,-79.8877
40.1608,-79.8846
40.3176,-79.6141
40.3978,-79.4689
40.5526,-79.7579
40.3067,-79.5747
40.3156,-79.3322
40.3176,-79.3829
40.2856,-79.437
40.5792,-79.5698
40.156,-79.7732
40.2384,-79.579
40.324,-79.7045
40.5952,-79.5782
40.307,-79.5392
40.2881,-79.3669
40.2413,-79.2398
40.3323,-79.7699
40.4777,-79.5987
40.353,-79.6711
40.3948,-79.6354
40.3244,-79.6245
40.3307,-79.6253
40.1558,-79.8286
40.2868,-79.585
40.139,-79.8567
40.1383,-79.8486
40.273,-79.0972
40.2771,-79.1748
40.575,-79.7559
40.2612,-79.7205
40.3169,-79.6145
40.5109,-79.6523
40.6113,-79.6654
40.4902,-79.6423
40.2478,-79.5044
40.2318,-79.5879
40.1965,-79.5998
40.2977,-79.4812
40.5354,-79.6426
40.3224,-79.3938
40.1235,-79.5566
40.2688,-79.4065
40.242,-79.4609
40.318,-79.3989
40.5685,-79.7425
40.551,-79.6661
40.5334,-79.6319
40.4906,-79.644
40.5843,-79.7646
40.2756,-79.3049
40.2814,-79.5719
40.546,-79.5529
40.1715,-79.7305
40.2103,-79.6967
40.31,-79.5458
40.1221,-79.5506
40.3135,-79.4902
40.2693,-79.5578
40.2775,-79.1744
40.1549,-79.8295
40.5902,-79.7371
40.3297,-79.7102
40.335,-79.7127
40.307,-79.5392
40.6028,-79.6105
40.3411,-79.6338
40.4882,-79.6098
40.5828,-79.7109
40.3524,-79.7681
40.232,-79.5846
40.6106,-79.6664
40.3137,-79.6714
40.5185,-79.6073
40.3468,-79.6284
40.2919,-79.3795
40.3302,-79.4873
40.2185,-79.6077
40.1555,-79.561
40.2859,-79.7259
40.3182,-79.7073
40.1734,-79.8204
40.1392,-79.8424
40.3485,-79.64
40.4922,-79.6922
40.381,-79.4515
40.1852,-79.7085
40.1715,-79.7241
40.1444,-79.816
40.5675,-79.761
40.3295,-79.5996
40.2074,-79.572
40.3538,-79.6846
40.3589,-79.6808
,
40.5627,-79.7414
40.3492,-79.767
40.5598,-79.5819
40.3713,-79.6841
40.5125,-79.652
40.4386,-79.6837
40.1788,-79.44
40.335,-79.6101
40.3288,-79.5987
40.0894,-79.3423
40.5638,-79.6975
40.319,-79.6882
40.1376,-79.8404
40.1982,-79.8287
40.1418,-79.8416
40.3246,-79.578
40.2807,-79.6498
40.4715,-79.4476
40.5835,-79.7023
40.2952,-79.7563
40.4036,-79.69
40.3423,-79.3154
40.5738,-79.7486
40.2007,-79.2644
40.5679,-79.7465
40.5767,-79.7503
40.5247,-79.7009
40.4166,-79.6917
40.4125,-79.6307
40.467,-79.6949
40.4074,-79.728
40.1477,-79.5329
40.3782,-79.4319
40.4964,-79.4631
40.4964,-79.4631
40.4636,-79.589
40.42,-79.3633
40.3555,-79.5237
40.287,-79.5467
40.297,-79.5563
40.1342,-79.852
40.1203,-79.5612
40.5697,-79.5674
40.3944,-79.5841
40.2149,-79.1847
40.6183,-79.6552
40.5616,-79.7523
40.3834,-79.6785
40.3349,-79.6913
40.6634,-79.6853
40.1346,-79.875
40.3152,-79.5657
40.3217,-79.7327
40.4159,-79.5972
40.4875,-79.6969
40.4242,-79.6642
40.3874,-79.5626
40.3682,-79.4641
40.4607,-79.4343
40.164,-79.8189
40.6309,-79.6371
40.587,-79.7634
40.3292,-79.733
40.5882,-79.7446
40.3211,-79.7546
40.6606,-79.674
40.34,-79.7192
40.3495,-79.7674
40.3989,-79.7153
40.6035,-79.5954
40.3522,-79.3159
40.286,-79.3818
40.2036,-79.5795
40.3991,-79.5795
40.399,-79.5795
40.1786,-79.8485
40.1886,-79.2805
,
40.5843,-79.7646
40.388,-79.7188
40.3348,-79.718
40.4722,-79.6962
40.4279,-79.6951
40.5014,-79.6792
40.4969,-79.6976
40.4125,-79.6307
40.4249,-79.6346
40.4284,-79.5456
40.2126,-79.591
40.6226,-79.6391
40.3169,-79.6145
40.2833,-79.4888
40.3658,-79.1682
40.2851,-79.3888
40.2926,-79.3298
40.2535,-79.7555
40.1776,-79.53
40.2835,-79.5399
40.1379,-79.5476
40.278,-79.6322
40.3096,-79.4999
40.342,-79.5004
40.2832,-79.4603
40.2347,-79.7736
40.3037,-79.6015
40.2829,-79.4167
40.1239,-79.5552
40.5856,-79.7104
40.1597,-79.8211
40.4881,-79.6118
40.1011,-79.6151
40.359,-79.2751
40.3095,-79.5179
40.3255,-79.6591
40.1927,-79.4842
40.3982,-79.5712
40.4271,-79.5443
40.6016,-79.5717
40.1993,-79.6979
40.3307,-79.5803
40.1495,-79.4286
40.155,-79.4721
40.6461,-79.6593
40.3065,-79.5397
40.5379,-79.5931
40.291,-79.6697
40.5627,-79.7633
40.3288,-79.7304
40.3352,-79.6008
40.3468,-79.6048
40.1488,-79.542
40.32,-79.3952
40.3581,-79.7706
40.5131,-79.5852
40.6407,-79.6563
40.2485,-79.2494
40.4633,-79.6565
40.1655,-79.6014
40.196,-79.5739
40.4894,-79.4541
40.1805,-79.8101
40.621,-79.6422
40.3147,-79.6756
40.3755,-79.7224
