_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
1,"1700 BLOCK ARLINGTON AVE PITTSBURGH, PA 15210",2,0,1,1,0,0,2015,1,0,Mount Oliver Borough,3,0,42003170600,0,3,4-6,40.4176189902752,-79.9864357729389
2,"BREVET WAY & MINTON ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2015,1,0,Sheraden,2,20,42003562500,5,6,1-16,40.4569036300887,-80.0523276105619
3,"TERRACE ST & WHITRIDGE ST PITTSBURGH, PA 15213",1,0,1,0,0,0,2015,1,0,Terrace Village,6,4,42003051000,3,2,2-10,40.4411851749623,-79.9685267530273
4,"3500 BLOCK GERBER AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,1,0,Brighton Heights,1,27,42003270300,1,1,1-14,40.4795301610082,-80.0334773540191
5,"7500 BLOCK KELLY ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,1,0,,,,,,5,,,
6,"1900 BLOCK 5TH AVE PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,1,0,Westwood,2,28,42003563100,5,6,1-18,40.4359838396036,-80.0520420475639
7,"400 BLOCK S NEGLEY AVE PITTSBURGH, PA 15232",1,0,1,0,0,0,2015,1,1,East Liberty,9,11,42003111500,2,5,3-8,40.4667705489182,-79.9282395704775
8,"5200 BLOCK DRESDEN WAY PITTSBURGH, PA 15201",2,0,2,0,0,0,2015,1,1,Upper Lawrenceville,7,10,42003101100,2,2,3-5,40.4801469015144,-79.9540136073542
9,"1100 BLOCK GRAND AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2015,1,1,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4749864076206,-80.0275279156141
10,"1600 BLOCK FALLOWFIELD AVE PITTSBURGH, PA 15216",1,0,1,0,0,0,2015,1,1,Beechview,4,19,42003192000,5,6,4-28,40.4104873024514,-80.0239689958174
11,"8600 BLOCK BRICELYN ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2015,1,1,East Hills,9,13,42003130600,2,5,3-17,40.4578647734886,-79.8743592274177
12,"3000 BLOCK VENSEL WAY PITTSBURGH, PA 15212",2,0,1,1,0,0,2015,1,2,Marshall-Shadeland,1,27,42003271500,1,1,1-14,40.4719871300818,-80.0287559800503
13,"200 BLOCK ERIN ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2015,1,2,Arlington,3,16,42003561600,3,3,4-8,40.4156704160285,-79.9688545989056
14,"3100 BLOCK CORDELL PL PITTSBURGH, PA 15203",1,0,0,0,1,0,2015,1,2,Arlington Heights,3,16,42003561600,3,3,4-8,40.4177171713236,-79.963452973864
15,"200 BLOCK BAILEY AVE PITTSBURGH, PA 15211",1,0,1,0,0,0,2015,1,2,Mount Washington,3,18,42003180700,5,3,4-5,40.4269729627266,-80.0035033283611
16,"6100 BLOCK ST MARIE ST PITTSBURGH, PA 15206",1,0,1,0,0,0,2015,1,2,East Liberty,9,11,42003111300,2,5,3-8,40.4681641333973,-79.9191519303171
17,"SARAH ST & S 21ST ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2015,1,3,South Side Flats,3,16,42003160900,3,3,4-24,40.4275964722009,-79.9763477687553
18,"5100 BLOCK GLOSTER ST PITTSBURGH, PA 15207",2,0,0,2,0,0,2015,1,3,Hazelwood,5,15,42003562900,3,4,2-13,40.4068131647254,-79.9442928153759
19,"7500 BLOCK HAMILTON AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,1,3,Homewood South,9,13,42003130300,2,5,3-17,40.4534765381578,-79.8924777788449
20,"4200 BLOCK MURRAY AVE PITTSBURGH, PA 15217",1,0,0,1,0,0,2015,1,3,Greenfield,5,15,42003151700,3,4,2-15,40.423189692055,-79.9286739194019
21,"BAUM BLVD & S AIKEN AVE PITTSBURGH, PA 15224",1,0,0,1,0,0,2015,1,4,Bloomfield,7,8,42003080600,2,5,3-23,40.4569407620077,-79.9385396480595
22,"<100 BLOCK INDUSTRY ST PITTSBURGH, PA 15210",2,0,1,0,1,0,2015,1,4,Beltzhoover,3,18,42003562400,5,3,4-21,40.4206287122311,-79.9997109011818
23,"7200 BLOCK KELLY ST PITTSBURGH, PA 15208",1,0,1,0,0,0,2015,1,4,Homewood South,9,13,42003130300,2,5,3-17,40.4555186499155,-79.8969956274934
24,"7100 BLOCK HERMITAGE ST PITTSBURGH, PA 15208",2,0,0,1,1,0,2015,1,4,Homewood North,9,13,42003130200,2,5,3-18,40.4607187563883,-79.897505025281
