Neighborhood_2010_INTPTLAT10,Neighborhood_2010_INTPTLON10,Neighborhood_2010_HOOD,Neighborhood_2010_SQMILES,SNAP_All_csv_Median_Home_Value_,Med__Val____00_in__10_Dollars_,SNAP_All_csv_Median_Home__Value,SNAP_All_csv_Median_Sale_Price_,SNAP_All_csv_2009_Median_Income,F2009_Med__Income___13_Dollars_,Est__Percent_Under_Poverty__201,SNAP_All_csv__Part_1__Major_Cri,SNAP_All_csv_Part_1_Crime_per_1,SNAP_All_csv_Part_2_Crime_per_1,SNAP_All_csv__Murder__2010_,SNAP_All_csv__Rape__2010_,SNAP_All_csv__Robbery__2010_,F_Agr__Assault__2010_,SNAP_All_csv__Burglary__2010_,SNAP_All_csv__Auto_Theft__2010_,SNAP_All_csv__Drug_Violations__,SNAP_All_csv___Good___Excellent,SNAP_All_csv___Average_Conditio,SNAP_All_csv___Poor___Derelict_,SNAP_All_csv_Landslide_Prone___,SNAP_All_csv_Flood_Plain____lan,SNAP_All_csv_Park_Space____of_l,SNAP_All_csv_Woodland____of_lan,SNAP_All_csv_Cemetery____of_lan,SNAP_All_csv_Residential
40.4406805,-79.9542332,Central Oakland,0.281,"$62,100.00","$78,637.00","$144,350.00","$104,940.00",16717,18222,64.8%,236,3.9,2.7,0,1,23,8,66,14,7,5.3%,91.5%,3.2%,10.6%,0.0%,6.9%,3.9%,0.0%,46.2%
40.4458408,-79.9483932,North Oakland,0.499,"$222,423.00","$281,654.00","$273,000.00","$145,000.00",50004,54504,39.2%,182,1.7,1.3,0,0,16,7,35,13,12,15.4%,81.9%,2.6%,17.9%,0.0%,4.6%,2.1%,0.0%,34.4%
40.4412437,-79.9626107,West Oakland,0.215,"$47,500.00","$60,149.00","$61,100.00","$66,000.00",20962,22849,46.6%,82,3.1,2.5,1,1,13,4,14,8,13,0.6%,89.7%,9.7%,64.5%,0.0%,0.8%,13.4%,0.0%,25.5%
40.4403871,-79.9813476,Crawford-Roberts,0.258,"$70,800.00","$89,654.00","$94,600.00","$11,500.00",14932,16276,48.2%,129,5.7,8.7,0,0,16,10,20,21,90,27.6%,52.8%,19.6%,24.7%,0.0%,3.2%,4.8%,0.0%,73.4%
40.4544996,-79.9812762,Strip District,0.608,"$215,900.00","$273,394.00","$161,800.00","$250,000.00",64868,70706,2.1%,155,25.2,27.1,0,0,12,14,20,18,38,12.7%,72.2%,15.1%,10.9%,54.2%,1.7%,3.1%,0.0%,0.0%
40.4406777,-79.9892121,Central Business District,0.64,"$59,400.00","$75,218.00","$125,800.00","$240,000.00",37475,40848,28.8%,789,21.7,15.6,0,4,55,27,66,20,66,32.0%,54.5%,13.5%,0.1%,30.5%,7.1%,0.0%,0.0%,0.0%
40.4632158,-79.9941680,Spring Hill-City View,0.63,"$43,700.00","$55,337.00","$58,900.00","$11,750.00",21875,23844,33.7%,121,4.6,6.5,0,0,15,15,32,9,52,4.8%,91.3%,4.0%,57.2%,0.0%,5.0%,26.2%,2.7%,40.7%
40.4733966,-80.0097343,Perry South,0.905,"$44,500.00","$56,350.00","$51,350.00","$4,798.00",29797,32478,37.0%,221,5.3,7.5,2,0,11,29,82,28,87,5.0%,83.3%,11.8%,31.9%,0.0%,2.2%,13.7%,13.5%,37.7%
40.4922173,-80.0081121,Summer Hill,0.439,"$76,100.00","$96,365.00","$94,400.00","$67,500.00",39034,42547,7.9%,13,1.2,2.1,0,0,0,1,2,2,1,8.4%,90.4%,1.1%,52.8%,0.0%,0.0%,18.8%,0.0%,50.8%
40.4776383,-80.0025945,Northview Heights,0.313,"$29,400.00","$37,229.00",N/A,"$30,903.00",12933,14097,58.1%,63,5.2,10.4,1,0,6,17,16,1,19,n/a,n/a,n/a,38.0%,0.0%,0.0%,28.8%,0.0%,53.1%
40.4818975,-80.0108700,Perry North,1.212,"$61,850.00","$78,321.00","$76,300.00","$43,750.00",46250,50412,14.5%,112,2.8,4.9,1,0,6,8,45,12,31,1.7%,96.5%,1.8%,59.0%,0.0%,33.3%,37.6%,0.0%,38.4%
40.4320100,-80.0530374,Westwood,0.692,"$72,200.00","$91,427.00","$93,700.00","$70,000.00",49877,54366,5.8%,57,1.9,1.7,0,1,1,4,17,6,3,22.7%,76.4%,0.9%,15.2%,0.0%,3.3%,23.2%,0.0%,71.9%
40.4197360,-79.9991617,Beltzhoover,0.421,"$34,000.00","$43,054.00","$36,000.00","$2,744.00",33869,36917,23.5%,83,4.3,6.8,1,0,6,10,28,8,38,1.7%,85.3%,13.0%,17.9%,1.1%,20.4%,12.5%,0.0%,64.7%
40.4730821,-79.9488759,Central Lawrenceville,0.963,"$41,950.00","$53,121.00","$66,850.00","$67,500.00",31816,34679,21.9%,177,3.9,5.2,0,1,18,12,25,34,40,18.7%,75.9%,5.4%,21.6%,14.0%,1.0%,0.6%,54.6%,20.6%
40.4302576,-79.9922422,South Side Flats,0.936,"$77,100.00","$97,632.00","$153,750.00","$174,500.00",40565,44215,20.5%,669,10.1,11.7,1,6,52,61,74,56,53,12.7%,84.6%,2.7%,0.0%,21.3%,3.5%,0.2%,0.0%,24.6%
40.4191918,-79.9927314,Allentown,0.295,"$34,300.00","$43,434.00","$42,200.00","$8,500.00",29274,31909,28.5%,159,6.4,10.1,0,2,15,23,48,11,66,2.5%,86.9%,10.6%,27.1%,0.0%,20.9%,12.3%,0.0%,54.6%
40.4249025,-79.9876098,South Side Slopes,0.716,"$43,700.00","$55,337.00","$73,050.00","$47,700.00",37944,41359,19.8%,210,4.7,4.6,0,0,15,14,65,23,27,1.8%,94.1%,4.1%,66.4%,0.0%,13.9%,12.2%,4.1%,35.1%
40.4369004,-79.9903987,Bluff,0.327,"$40,600.00","$51,412.00","$21,200.00","$50,000.00",12795,13947,80.2%,105,1.6,2.9,0,0,12,11,14,14,37,22.2%,54.8%,23.0%,12.3%,7.2%,0.0%,0.0%,0.0%,7.4%
40.4641570,-80.0039415,Fineview,0.25,"$39,400.00","$49,892.00","$58,900.00","$16,000.00",29643,32311,33.4%,70,5.4,12.6,1,1,6,19,19,8,59,6.7%,88.0%,5.3%,92.0%,0.0%,3.1%,19.8%,0.0%,46.4%
40.4096285,-79.9486102,Hazelwood,1.583,"$38,700.00","$49,006.00","$65,550.00","$5,500.00",31067,33863,25.9%,159,3.7,5,1,0,10,17,47,25,44,0.7%,90.6%,8.8%,26.4%,2.4%,2.4%,14.5%,16.3%,28.3%
40.4875790,-79.8907469,Lincoln-Lemington-Belmar,0.28,"$44,800.00","$56,730.00","$43,767.00","$6,575.00",29564,32225,30.4%,133,2.7,3.6,0,0,19,13,34,19,15,3.0%,90.1%,7.0%,20.8%,0.9%,2.1%,26.5%,2.6%,32.3%
40.4521925,-79.8817225,East Hills,0.541,"$50,900.00","$64,455.00","$40,700.00","$11,358.00",21658,23607,41.5%,90,2.8,4.3,0,0,13,16,25,11,18,5.7%,87.8%,6.5%,0.0%,0.0%,3.9%,12.5%,0.0%,89.7%
40.4308074,-79.9518013,South Oakland,0.508,"$47,700.00","$60,403.00","$77,200.00","$93,000.00",26327,28696,37.7%,104,3.5,3.7,0,1,2,3,37,19,13,0.8%,95.5%,3.7%,23.2%,9.8%,1.7%,6.7%,0.0%,26.4%
40.4247086,-80.0011285,Mount Washington,1.139,"$55,450.00","$70,216.00","$78,175.00","$46,000.00",43321,47219,20.2%,434,4.9,4.9,0,3,22,23,115,38,44,11.9%,86.9%,1.2%,23.8%,1.6%,15.3%,13.3%,0.0%,55.9%
40.4216327,-79.9353993,Greenfield,0.773,"$65,800.00","$83,323.00","$90,900.00","$118,250.00",43580,47502,9.2%,145,2,2.3,0,2,7,6,43,15,23,1.0%,97.5%,1.4%,15.3%,0.2%,1.9%,4.3%,0.3%,75.4%
40.4266034,-79.9185733,Squirrel Hill South,2.671,"$134,633.00","$170,486.00","$201,400.00","$218,250.00",54473,59376,11.7%,331,2.2,1.4,0,0,22,5,70,29,8,5.6%,94.2%,0.1%,21.9%,1.3%,40.0%,28.9%,0.0%,50.2%
40.4584905,-80.0120067,Central Northside,0.259,"$63,550.00","$80,473.00","$124,300.00","$59,247.00",33004,35974,24.6%,118,4,8.4,0,1,15,10,29,12,58,42.9%,45.6%,11.5%,12.2%,0.0%,0.5%,2.2%,0.0%,60.8%
40.4600565,-79.9915198,Spring Garden,0.275,"$29,800.00","$37,736.00","$48,000.00","$8,252.00",38418,41876,13.8%,36,4.1,6.9,0,0,2,7,10,3,9,3.9%,89.3%,6.7%,54.3%,0.2%,8.1%,36.6%,0.0%,37.3%
40.4611811,-79.9859947,Troy Hill,0.384,"$43,400.00","$54,957.00","$52,600.00","$24,900.00",37057,40392,22.3%,163,6,6.5,1,0,19,10,46,12,27,0.0%,98.3%,1.7%,23.9%,29.1%,2.8%,7.5%,2.4%,29.3%
40.4572599,-79.9976543,East Allegheny,0.236,"$36,700.00","$46,473.00","$77,100.00","$51,688.00",28172,30707,22.2%,234,11,14.8,0,2,32,28,40,23,73,20.9%,67.9%,11.1%,11.1%,0.0%,0.1%,2.6%,0.0%,48.4%
40.4847864,-79.9385823,Stanton Heights,0.735,"$66,750.00","$84,526.00","$86,700.00","$80,710.00",48949,53354,4.2%,67,1.5,1.9,0,1,3,4,20,12,7,9.3%,90.0%,0.6%,18.0%,0.0%,3.0%,20.4%,0.0%,74.6%
40.4621267,-79.9609234,Lower Lawrenceville,0.43,"$37,000.00","$46,853.00","$56,900.00","$65,000.00",22311,24319,38.7%,107,4.6,5.4,0,2,6,9,29,16,21,6.6%,86.8%,6.6%,4.7%,29.9%,4.8%,3.3%,0.0%,23.7%
40.4617308,-79.9522528,Bloomfield,0.702,"$60,560.00","$76,687.00","$92,840.00","$99,250.00",30830,33604,19.4%,453,5.4,4.4,0,3,45,20,70,36,42,9.7%,89.6%,0.7%,8.1%,0.0%,1.1%,0.5%,0.0%,58.1%
