Latitude,Longitude,Neighborhood,acres,sqmiles
40.4523867,-79.9073195,Point Breeze North,193.22923916,0.30192069
40.4427301,-79.9435821,Squirrel Hill North,782.98154712,1.22340867
40.4672423,-79.9433700,Garfield,292.72612537,0.45738457
40.4512373,-79.9745804,Bedford Dwellings,112.43155145,0.1756743
40.4109357,-79.9931744,Knoxville,191.75977734,0.29962465
40.4496890,-79.8859784,Homewood South,247.77481235,0.38714814
40.4459724,-79.9776953,Middle Hill,195.28998606,0.3051406
40.4269246,-80.0658036,Oakwood,161.52497734,0.25238278
40.4458408,-79.9483932,North Oakland,318.08128336,0.49700201
40.4386014,-80.0260996,Duquesne Heights,396.51557922,0.61955559
40.4050484,-79.9308344,Glen Hazel,292.77636784,0.45746307
40.4612717,-79.9187769,East Liberty,372.08254294,0.58137897
40.4320100,-80.0530374,Westwood,441.88379972,0.69044344
40.4799173,-79.9300799,Morningside,239.74901281,0.37460783
40.3745282,-79.9191876,Lincoln Place,628.18080526,0.98153251
40.4836266,-80.0171609,Perry North,774.34430822,1.20991298
40.4776383,-80.0025945,Northview Heights,200.83016634,0.31379713
40.4594767,-79.8955903,Homewood North,276.8346875,0.4325542
40.4168800,-79.9615214,Arlington Heights,81.42957212,0.12723371
40.4621267,-79.9609234,Lower Lawrenceville,275.16424871,0.42994414
40.4633748,-79.9087841,Larimer,284.9177058,0.44518392
40.4875790,-79.8907469,Lincoln-Lemington-Belmar,1163.58474507,1.81810116
40.4369004,-79.9903987,Bluff,208.16719001,0.32526123
40.4507815,-80.0847808,Fairywood,620.53813973,0.96959084
40.4043578,-80.0109294,Brookline,1336.91504781,2.08892976
40.3937604,-79.9499181,Hays,1116.86260649,1.74509782
40.4197360,-79.9991617,Beltzhoover,265.85583068,0.41539974
40.4216327,-79.9353993,Greenfield,495.63876528,0.77443557
40.4202222,-80.0745718,East Carnegie,277.41123706,0.43345506
40.4496580,-79.9981098,North Shore,190.09475432,0.29702305
40.4191918,-79.9927314,Allentown,190.07889133,0.29699827
40.4077250,-80.0012233,Bon Air,201.49147968,0.31483044
40.4507843,-80.0144032,Allegheny West,92.66835251,0.1447943
40.4496310,-80.0569283,Crafton Heights,480.84267305,0.75131668
40.4578695,-80.0264589,Manchester,178.5910782,0.27904856
40.4659231,-80.0458881,Marshall-Shadeland,802.60647233,1.25407261
40.4780209,-79.9195862,Highland Park,748.71045651,1.16986009
40.3879201,-79.9225537,New Homestead,505.58191193,0.78997174
40.4584905,-80.0120067,Central Northside,166.19398243,0.2596781
40.4586040,-79.9613007,Polish Hill,163.9451111,0.25616424
40.3911959,-79.9952543,Overbrook,535.35823494,0.83649724
40.4592964,-79.9351049,Friendship,67.96250434,0.10619141
40.4569713,-79.9050701,Homewood West,124.93008836,0.19520326
40.4406777,-79.9892121,Central Business District,413.20446531,0.64563198
40.4572599,-79.9976543,East Allegheny,150.34595404,0.23491555
40.4515765,-80.0053403,Allegheny Center,133.719566,0.20893682
40.4406805,-79.9542332,Central Oakland,179.22977556,0.28004652
40.4865869,-80.0297229,Brighton Heights,714.89430542,1.11702235
40.4249025,-79.9876098,South Side Slopes,462.75848152,0.72306013
40.4138332,-79.9632700,Arlington,307.18431056,0.47997549
40.4578183,-80.0705756,Chartiers City,85.76980109,0.13401531
40.3844190,-79.9867635,Carrick,1068.49913476,1.6695299
40.4617308,-79.9522528,Bloomfield,449.23559615,0.70193062
40.4127817,-80.0357088,Banksville,625.67643177,0.97761942
40.4247086,-80.0011285,Mount Washington,724.81969622,1.13253078
40.4521925,-79.8817225,East Hills,345.9566702,0.5405573
40.4730821,-79.9488759,Central Lawrenceville,614.47181156,0.96011221
40.4408830,-80.0357065,West End,124.52211675,0.19456581
40.4627464,-80.0508428,Esplen,147.91525462,0.23111759
40.4420424,-79.9063310,Point Breeze,642.17104211,1.00339225
40.4096285,-79.9486102,Hazelwood,1027.3553266,1.6052427
40.4403871,-79.9813476,Crawford-Roberts,160.85876719,0.25134182
40.4308074,-79.9518013,South Oakland,309.73337025,0.48395839
40.4507230,-79.9591365,Upper Hill,200.44088177,0.31318888
40.4270691,-80.0344802,Ridgemont,228.89516499,0.3576487
40.4611811,-79.9859947,Troy Hill,294.98507799,0.46091418
40.4366295,-80.0102703,South Shore,147.67587999,0.23074356
40.4108740,-79.9793742,Mt. Oliver,66.11041005,0.10329752
40.4599421,-80.0218657,California-Kirkbride,138.8105677,0.21689151
40.4632158,-79.9941680,Spring Hill-City View,407.1784424,0.63621632
40.4580322,-80.0647449,Sheraden,568.08512413,0.88763301
40.4847864,-79.9385823,Stanton Heights,472.44089125,0.73818889
40.4126628,-80.0211465,Beechview,933.88886667,1.45920135
40.4088032,-79.9721874,St. Clair,199.07579887,0.31105594
40.4518148,-80.0280506,Chateau,244.80787848,0.38251231
40.4510923,-79.9473004,Shadyside,588.90301806,0.92016097
40.4922173,-80.0081121,Summer Hill,282.81238756,0.44189436
40.4412437,-79.9626107,West Oakland,149.4591782,0.23352997
40.4597668,-80.0778300,Windgap,266.83798748,0.41693436
40.4600565,-79.9915198,Spring Garden,170.94593174,0.26710302
40.4266034,-79.9185733,Squirrel Hill South,1713.02741588,2.67660534
40.4544996,-79.9812762,Strip District,389.24067866,0.60818856
40.4196414,-79.9075532,Swisshelm Park,303.09736019,0.47358963
40.4733966,-80.0097343,Perry South,580.06153858,0.90634615
40.4818107,-79.9477736,Upper Lawrenceville,258.49129917,0.40389265
40.4328896,-79.8976172,Regent Square,125.58002964,0.1962188
40.4416579,-79.9764621,Terrace Village,207.77195592,0.32464368
40.4400199,-80.0409711,Elliott,387.76984567,0.60589038
40.4302576,-79.9922422,South Side Flats,591.56268818,0.9243167
40.4641570,-80.0039415,Fineview,159.03317368,0.24848933
