_id,ID,STATUS,NAME,LOCATION,MUNIC,ZIPCITY,ZIPCODE,COUNTY,X_COORD,Y_COORD,RESTRICT,CAPACITY,OWNER,PARK_FEE,D_PARK_FEE,M_PARK_FEE,SERV_TRANS,TRANS_OP_1,TRANS_OP_2
1,1,OPEN,OLYMPIA SHOPPING CENTER-WALNUT ST-MCKEESPORT,4313 WALNUT ST.,CITY OF MCKEESPORT,MCKEESPORT,15132,ALLEGHENY,40.32269999999999754436430521309375762939453125,-79.8346099999999978535925038158893585205078125,TRANSIT ONLY,50,PRIVATE,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
2,2,OPEN,DUQUESNE-LIBRARY PL AT DUQUESNE BLVD-DUQUESNE,RT 837 (DUQUESNE BLVD.) AT LIBRARY PL.,CITY OF DUQUESNE,DUQUESNE,15110,ALLEGHENY,40.3722700000000003228706191293895244598388671875,-79.844660000000004629328032024204730987548828125,NONE,311,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
3,3,OPEN,NORTH VERSAILLES-GREENSBURG PIKE-NORTH VERSAILLES TWP,GREENSBURG PIKE OFF US 30 (LINCOLN HWY.),NORTH VERSAILLES TOWNSHIP,NORTH VERSAILLES,15137,ALLEGHENY,40.38864000000000231693775276653468608856201171875,-79.8234800000000035424818634055554866790771484375,NONE,200,PRIVATE,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
4,5,OPEN,FOREST HILLS-ARDMORE BLVD AT AVENUE B-FOREST HILLS BORO,US 30 (ARDMORE BLVD.) AT AVENUE B,FOREST HILLS BOROUGH,PITTSBURGH,15221,ALLEGHENY,40.41235000000000354702933691442012786865234375,-79.8443400000000025329427444376051425933837890625,NONE,168,PRIVATE,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
5,7,OPEN,HOLIDAY PARK VFD-RT 286 AT OLD ABERS CREEK RD-PLUM BORO,GOLDEN MILE HWY. AT OLD ABERS CREEK RD.,PLUM BOROUGH,PITTSBURGH,15239,ALLEGHENY,40.4664700000000010504663805477321147918701171875,-79.705680000000000973159330897033214569091796875,TRANSIT ONLY,92,PRIVATE,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
6,8,OPEN,ALPINE VILLAGE-RT 286 NEAR RT 22-MONROEVILLE,"RT 286 (GOLDEN MILE HWY.), EAST OF RT 22 (WILLIAM PENN HWY.)",MUNICIPALITY OF MONROEVILLE,MONROEVILLE,15146,ALLEGHENY,40.42896999999999962938090902753174304962158203125,-79.72007999999999583451426587998867034912109375,TRANSIT ONLY,245,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
7,12,OPEN,MONROEVILLE MALL-LOWER MACYS LOT-MONROEVILLE,MALL CIRCLE DR. OFF RT. 22 (WILLIAM PENN HWY.),MUNICIPALITY OF MONROEVILLE,MONROEVILLE,15146,ALLEGHENY,40.42752999999999730107447248883545398712158203125,-79.791889999999995097823557443916797637939453125,NONE,140,PRIVATE,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
8,13,OPEN,HEBRON UNITED PRESBYTERIAN CHURCH-FRANKSTOWN RD-PENN HILLS,10460 FRANKSTOWN RD. AT NELBON AVE.,MUNICIPALITY OF PENN HILLS,PITTSBURGH,15235,ALLEGHENY,40.46023000000000280351741821505129337310791015625,-79.844549999999998135535861365497112274169921875,NONE,50,PRIVATE,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
9,15,OPEN,BEULAH PRESBYTERIAN CHURCH-MCCRADY RD AT BEULAH RD-CHURCHILL,2500 MCCRADY RD. AT RT. 130 (BEULAH RD.),CHURCHILL BOROUGH,PITTSBURGH,15235,ALLEGHENY,40.4461399999999997589839040301740169525146484375,-79.847409999999996443875716067850589752197265625,NONE,100,PRIVATE,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
10,16,OPEN,EAST BUSWAY-WILKINSBURG STA-WALLACE AVE-WILKINSBURG,WALLACE AVE. AT PITT ST.,BOROUGH OF WILKINSBURG,WILKINSBURG,15221,ALLEGHENY,40.44733000000000089357854449190199375152587890625,-79.888519999999999754436430521309375762939453125,TRANSIT ONLY,748,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
11,17,OPEN,EAST BUSWAY-HAMNETT STA-CENTER ST-WILKINSBURG,CENTER ST. OFF PENN AVE.,BOROUGH OF WILKINSBURG,WILKINSBURG,15221,ALLEGHENY,40.43737999999999743749867775477468967437744140625,-79.884919999999993933670339174568653106689453125,TRANSIT ONLY,128,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
12,18,OPEN,EAST BUSWAY-SWISSVALE STA-VERNON ST AT SCOTT WAY-SWISSVALE,"VERNON ST. AT SCOTT WAY, OFF S. BRADDOCK AVE.",BOROUGH OF SWISSVALE,PITTSBURGH,15218,ALLEGHENY,40.41534999999999655528881703503429889678955078125,-79.87921000000000049112713895738124847412109375,TRANSIT ONLY,163,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
13,19,OPEN,ARNOLD PALMER REGIONAL AIRPORT-RT 981-LATROBE,PA 981 OFF US 30 (LINCOLN HWY.),UNITY TOWNSHIP,LATROBE,15650,WESTMORELAND,40.27063799999999815781848155893385410308837890625,-79.4038570000000021309460862539708614349365234375,NONE,100,WESTMORELAND COUNTY AIRPORT AUTHORITY,NO,0,0,YES,WESTMORELAND TRANSIT,NONE
14,20,OPEN,RT 30 AT BARNES LAKE RD-NEAR PA TURNPIKE EXIT 67-IRWIN,US 30 (LINCOLN HWY.) AT BARNES LAKE RD.,NORTH HUNTINGDON TOWNSHIP,IRWIN,15642,WESTMORELAND,40.316969999999997753548086620867252349853515625,-79.6818099999999986948751029558479785919189453125,NONE,83,PENNSYLVANIA TURNPIKE COMMISSION,NO,0,0,NO,NONE,NONE
15,25,OPEN,RT 22 AT RT 819-SALEM TWP,US 22 (WILLIAM PENN HWY.) AT PA 819,SALEM TOWNSHIP,GREENSBURG,15601,WESTMORELAND,40.40259999999999962483343551866710186004638671875,-79.5222600000000028330759960226714611053466796875,NONE,96,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,NO,NONE,NONE
16,26,OPEN,WARRENDALE BAYNE RD AT BRUSH CREEK RD-WARRENDALE,WARRENDALE BAYNE RD. AT BRUSH CREEK RD.,MARSHALL TOWNSHIP,WARRENDALE,15086,ALLEGHENY,40.64974000000000131649358081631362438201904296875,-80.095969999999994115569279529154300689697265625,TRANSIT ONLY,112,PENNSYLVANIA DEPARTMENT OF TRANSPORTATION,NO,0,0,YES,LENZNER COACH LINES,NONE
17,27,OPEN,MCCANDLESS-BLAZIER DR-MCCANDLESS TWP,BLAZIER DR. OFF MCKNIGHT RD.,TOWN OF MCCANDLESS,PITTSBURGH,15237,ALLEGHENY,40.5863700000000022782842279411852359771728515625,-80.0300399999999996225596987642347812652587890625,NONE,300,PORT AUTHORITY OF ALLEGHENY COUNTY,NO,0,0,YES,PORT AUTHORITY OF ALLEGHENY COUNTY,NONE
