_id,Closed Status,Duration,Start Station Id,Start Date,Start Station Name,End Date,End Station Id,End Station Name,Rider Type
1,NORMAL,272,29,2023-08-31T23:55:45,Forbes Ave & Schenley Dr,2023-09-01T00:00:18,10,Zulema St & Coltart Ave,MEMBER
2,NORMAL,249,51,2023-08-31T23:54:23,Coltart Ave & Forbes Ave,2023-08-31T23:58:32,50,Atwood St & Bates St,MEMBER
3,NORMAL,266,51,2023-08-31T23:54:07,Coltart Ave & Forbes Ave,2023-08-31T23:58:33,50,Atwood St & Bates St,MEMBER
4,NORMAL,356,50,2023-08-31T23:52:06,Atwood St & Bates St,2023-08-31T23:58:02,11,Ellsworth Ave & N Neville St,MEMBER
5,NORMAL,455,34,2023-08-31T23:52:03,N Dithridge St & Centre Ave,2023-08-31T23:59:38,10,Zulema St & Coltart Ave,MEMBER
6,NORMAL,789,13,2023-08-31T23:51:05,S Bouquet Ave & Sennott St,2023-09-01T00:04:14,10,Zulema St & Coltart Ave,CASUAL
7,NORMAL,401,29,2023-08-31T23:50:03,Forbes Ave & Schenley Dr,2023-08-31T23:56:44,10,Zulema St & Coltart Ave,MEMBER
8,NORMAL,592,15,2023-08-31T23:47:38,Ivy St & Walnut St,2023-08-31T23:57:30,50,Atwood St & Bates St,CASUAL
9,NORMAL,1593,22,2023-08-31T23:44:01,Forbes Ave & Market Square,2023-09-01T00:10:34,10,Zulema St & Coltart Ave,MEMBER
10,NORMAL,1584,22,2023-08-31T23:43:47,Forbes Ave & Market Square,2023-09-01T00:10:11,10,Zulema St & Coltart Ave,MEMBER
11,NORMAL,778,18,2023-08-31T23:42:58,21st St & Penn Ave,2023-08-31T23:55:56,19,42nd St & Butler St,MEMBER
12,NORMAL,787,18,2023-08-31T23:42:24,21st St & Penn Ave,2023-08-31T23:55:31,19,42nd St & Butler St,MEMBER
13,GRACE_PERIOD,19,18,2023-08-31T23:42:24,21st St & Penn Ave,2023-08-31T23:42:43,18,21st St & Penn Ave,MEMBER
14,NORMAL,720,13,2023-08-31T23:42:00,S Bouquet Ave & Sennott St,2023-08-31T23:54:00,13,S Bouquet Ave & Sennott St,MEMBER
15,NORMAL,340,30,2023-08-31T23:41:38,Shady Ave & Ellsworth Ave,2023-08-31T23:47:18,15,Ivy St & Walnut St,CASUAL
16,NORMAL,444,10,2023-08-31T23:35:56,Zulema St & Coltart Ave,2023-08-31T23:43:20,29,Forbes Ave & Schenley Dr,MEMBER
17,NORMAL,470,10,2023-08-31T23:35:51,Zulema St & Coltart Ave,2023-08-31T23:43:41,29,Forbes Ave & Schenley Dr,MEMBER
18,NORMAL,582,50,2023-08-31T23:35:18,Atwood St & Bates St,2023-08-31T23:45:00,34,N Dithridge St & Centre Ave,MEMBER
19,NORMAL,220,13,2023-08-31T23:32:22,S Bouquet Ave & Sennott St,2023-08-31T23:36:02,12,O'Hara St and University Place,MEMBER
20,NORMAL,156,58,2023-08-31T23:30:41,W North Ave & Federal St,2023-08-31T23:33:17,58,W North Ave & Federal St,CASUAL
21,NORMAL,176,58,2023-08-31T23:30:28,W North Ave & Federal St,2023-08-31T23:33:23,58,W North Ave & Federal St,CASUAL
22,NORMAL,143,50,2023-08-31T23:29:24,Atwood St & Bates St,2023-08-31T23:31:47,13,S Bouquet Ave & Sennott St,MEMBER
23,NORMAL,1425,23,2023-08-31T23:25:19,North Shore Trail & Fort Duquesne Bridge,2023-08-31T23:49:04,21,Liberty Ave & Stanwix St,MEMBER
24,NORMAL,594,34,2023-08-31T23:24:32,N Dithridge St & Centre Ave,2023-08-31T23:34:25,50,Atwood St & Bates St,MEMBER
25,NORMAL,597,34,2023-08-31T23:24:12,N Dithridge St & Centre Ave,2023-08-31T23:34:09,50,Atwood St & Bates St,MEMBER
